,STYLE_NAME,STLYE,CT
223396,DIAGINJO MUSCAT,WINE_SUBSTYLE WINE_VARIETAL,18
70749,DRIED FRUIT BRANDY SLUE GIN,SPIRITS_TYPE SPIRITS_TYPE,77
66839,BLENDED CANADIAN WHISKY WHEAT MASH WHISKY,SPIRITS_TYPE SPIRITS_TYPE,77
119683,AROMELLA ARMAGNAC,WINE_VARIETAL SPIRITS_TYPE,211
104438,CANNONAU GIN,WINE_VARIETAL SPIRITS_BROAD,211
148258,STEUBEN CANNONAU,WINE_VARIETAL WINE_VARIETAL,211
24000,ROCK AND BRANDY CHOCOLATE,SPIRITS_TYPE FLAVOR_STYLE,77
136366,KIR BLANC DE BLANCS,WINE_VARIETAL WINE_VARIETAL,211
151533,SCHEUREBE BLANC DE NOIRS,WINE_VARIETAL WINE_VARIETAL,211
179319,FRONTENAC MADELEINE ANGEVINE,WINE_VARIETAL WINE_VARIETAL,211
153640,ORANGE VALPOLICELLA,FLAVOR_STYLE WINE_VARIETAL,57
158346,VERMENTINO CHANCELLOR (NOIR),WINE_VARIETAL WINE_VARIETAL,211
163163,SAISON SCHEUREBE,BEER_MICRO WINE_VARIETAL,75
8460,NIAGARA IMPERIAL or DOUBLE IPA,WINE_VARIETAL BEER_MICRO,211
214081,LÉON MILLOT TANNAT,WINE_VARIETAL WINE_VARIETAL,211
133342,WHITE ALBARIÑO,WINE_STYLE WINE_VARIETAL,13
68028,MOURVEDRE BLENDED RYE WHISKY,WINE_VARIETAL SPIRITS_TYPE,211
202481,ANISE PETIT VERDOT,SPIRITS_TYPE WINE_VARIETAL,77
67848,POMEGRANATE BLENDED RYE WHISKY,FLAVOR_STYLE SPIRITS_TYPE,57
32338,PROSECCO AMBER or RED LAGER,WINE_VARIETAL BEER_MICRO,211
159180,LA CRESCENT DE CHAUNAC,WINE_VARIETAL WINE_VARIETAL,211
114407,BOURBON MASH WHISKY BLENDED MALT WHISKY,SPIRITS_TYPE SPIRITS_TYPE,77
48972,SÉMILLON COFFEE,WINE_VARIETAL FLAVOR_STYLE,211
143790,LIQUEUR or CORDIAL CABERNET SAUVIGNON,SPIRITS_BROAD WINE_VARIETAL,13
199133,SCOTCH WHISKY MALBEC,SPIRITS_TYPE WINE_VARIETAL,77
107348,OATMEAL STOUT WHEAT WHISKY,BEER_MICRO SPIRITS_TYPE,75
69910,VINS DOUX NATURELS RYE LIQUEUR or CORDIAL,WINE_STYLE SPIRITS_TYPE,13
110039,PINOT NOIR MALT MASH WHISKY,WINE_VARIETAL SPIRITS_TYPE,211
88002,GOLDWASSER VIGNOLES,SPIRITS_TYPE WINE_VARIETAL,77
89594,MADELEINE ANGEVINE ROBUST PORTER,WINE_VARIETAL BEER_MICRO,211
81766,BANANA TREBBIANO,FLAVOR_STYLE WINE_VARIETAL,57
185864,TEMPRANILLO CHAMPAGNE,WINE_VARIETAL WINE_VARIETAL,211
61239,MARECHAL FOCH STRAIGHT RYE MALT WHISKY,WINE_VARIETAL SPIRITS_TYPE,211
3663,SCHEUREBE MAIBOCK or HELLES BOCK,WINE_VARIETAL BEER_MICRO,211
26452,RYE MALT WHISKY GRAIN SPIRITS,SPIRITS_TYPE SPIRITS_TYPE,77
199557,SANGIOVESE AGLIANCO,WINE_VARIETAL WINE_VARIETAL,211
53245,CHELOIS COLA,WINE_VARIETAL FLAVOR_STYLE,211
100450,BLANC DE NOIRS KIWI,WINE_VARIETAL FLAVOR_STYLE,211
20275,KUMMEL SAVORY,SPIRITS_TYPE FLAVOR_BROAD,77
53841,BLANC DE BLANCS MAPLE,WINE_VARIETAL FLAVOR_STYLE,211
90203,TANGERINE AMERICAN PALE ALE,FLAVOR_STYLE BEER_MICRO,57
138082,SLUE GIN CHIANTI,SPIRITS_TYPE WINE_VARIETAL,77
18324,GUAVA LAMBIC or GUEUZE,FLAVOR_STYLE BEER_MICRO,57
168339,EHRENFELSER VALDIGUIÉ,WINE_VARIETAL WINE_VARIETAL,211
38531,UGNI BLANC BLONDE ALE,WINE_VARIETAL BEER_MICRO,211
96706,NOBLE MUSCADINE CINNAMON,WINE_VARIETAL FLAVOR_STYLE,211
161448,BLENDED WHISKY MUSCAT CANELLI,SPIRITS_TYPE WINE_VARIETAL,77
35283,TANNAT IMPERIAL RED ALE,WINE_VARIETAL BEER_MICRO,211
139264,SEYVAL BLANC GRAPPA,WINE_VARIETAL WINE_VARIETAL,211
174157,TROPICAL TEMPRANILLO,FLAVOR_STYLE WINE_VARIETAL,57
226566,VINHO VERDE RETSINA,WINE_VARIETAL WINE_VARIETAL,211
167528,SAVORY TUPELO HONEY MEAD,FLAVOR_BROAD WINE_VARIETAL,5
53160,LIQUEUR or CORDIAL COLA,SPIRITS_BROAD FLAVOR_STYLE,13
223731,ROGGENBIER or RYE BEER LOUISE SWENSON,BEER_MICRO WINE_VARIETAL,75
208177,HUCKLEBERRY SAUVIGNON GRIS,FLAVOR_STYLE WINE_VARIETAL,57
130639,CORTESE MEDIUM SWEET,WINE_VARIETAL WINE_SUBSTYLE,211
187077,AMERICAN IPA SAUTERNS,BEER_MICRO WINE_VARIETAL,75
48598,KIR CHERRY LIMEADE,WINE_VARIETAL FLAVOR_STYLE,211
188916,FLANDERS RED ALE COUNOISE,BEER_MICRO WINE_VARIETAL,75
183543,GARGANEGA LANDOT NOIR,WINE_VARIETAL WINE_VARIETAL,211
198544,MANGO CABERNET FRANC,FLAVOR_STYLE WINE_VARIETAL,57
178096,COROT NOIR GARGANEGA,WINE_VARIETAL WINE_VARIETAL,211
31725,BLENDED STRIAGHT WHISKY EISBOCK,SPIRITS_TYPE BEER_MICRO,77
9396,ARAK SAISON,WINE_VARIETAL BEER_MICRO,211
35786,AMBER or RED LAGER SCOTCH ALE,BEER_MICRO BEER_MICRO,75
136670,NEUTRAL BRANDY BLUSH,SPIRITS_TYPE WINE_VARIETAL,77
36295,KRISTALLWEIZEN DRY STOUT,BEER_MICRO BEER_MICRO,75
22864,MUSCADINE BUTTERSCOTCH,WINE_VARIETAL FLAVOR_STYLE,211
172213,DORTMUNDER GRÜNER VELTLINER,BEER_MICRO WINE_VARIETAL,75
65004,TEQUILA SAMBUCA,SPIRITS_BROAD SPIRITS_TYPE,13
227181,NEURTAL NOIRET,SPIRITS_BROAD WINE_VARIETAL,13
70290,SANGIOVESE KIRSCHWASSER,WINE_VARIETAL SPIRITS_TYPE,211
187570,PAPAYA ACAI,FLAVOR_STYLE WINE_VARIETAL,57
12900,PUMPKIN ALE OATMEAL STOUT,BEER_MICRO BEER_MICRO,75
202387,DISTILLED GIN PETIT VERDOT,SPIRITS_TYPE WINE_VARIETAL,77
63292,MARSANNE COMPOUNDED GIN,WINE_VARIETAL SPIRITS_TYPE,211
162192,VIENNA LAGER NIAGARA,BEER_MICRO WINE_VARIETAL,75
1298,VERNACCIA HYBRID or SPECIALTY BEER,WINE_VARIETAL BEER_STYLE,211
132739,GRAIN SPIRITS AROMATIC,SPIRITS_TYPE WINE_SUBSTYLE,77
218011,WEIZENBOCK ORTEGA,BEER_MICRO WINE_VARIETAL,75
165388,LIEBFRAUMILCH SÉMILLON,WINE_VARIETAL WINE_VARIETAL,211
180515,BRANDY PETITE MILO,SPIRITS_BROAD WINE_VARIETAL,13
182592,NOIRET RIESLING,WINE_VARIETAL WINE_VARIETAL,211
28683,PINOTAGE ROCK AND BOURBON,WINE_VARIETAL SPIRITS_TYPE,211
149813,WINTER WARMER PROSECCO,BEER_MICRO WINE_VARIETAL,75
173699,DUNKELWEIZEN SYMPHONY,BEER_MICRO WINE_VARIETAL,75
68674,STAR THISTLE HONEY MEAD SUBSTANDARD BRANDY,WINE_VARIETAL SPIRITS_TYPE,211
8357,NEUTRAL BRANDY IMPERIAL or DOUBLE IPA,SPIRITS_TYPE BEER_MICRO,77
226786,MEZCAL ALICANTE BOUSCHET,SPIRITS_BROAD WINE_VARIETAL,13
20057,OATMEAL STOUT SAVORY,BEER_MICRO FLAVOR_BROAD,75
91913,PINOT NOIR HELLES,WINE_VARIETAL BEER_MICRO,211
92884,LIEBFRAUMILCH KOLSCH,WINE_VARIETAL BEER_MICRO,211
162118,BARDOLINO NEGRETTE,WINE_VARIETAL WINE_VARIETAL,211
184366,CANADIAN WHISKY NERO D’AVOLA,SPIRITS_TYPE WINE_VARIETAL,77
103403,UGNI BLANC GRAPE  ,WINE_VARIETAL FLAVOR_STYLE,211
134848,CAYUGA (WHITE) AUSLESE,WINE_VARIETAL WINE_VARIETAL,211
69466,CLARET GOLDWASSER,WINE_VARIETAL SPIRITS_TYPE,211
144660,NEURTAL CONSTANTIA,SPIRITS_BROAD WINE_VARIETAL,13
166035,IMPERIAL or BALTIC PORTER FRONTENAC,BEER_MICRO WINE_VARIETAL,75
111345,LICORICE BLENDED WHEAT WHISKY,FLAVOR_STYLE SPIRITS_TYPE,57
174350,RUM LIQUEUR or CORDIAL TEMPRANILLO,SPIRITS_TYPE WINE_VARIETAL,77
151960,JUNMAI BOAL,WINE_SUBSTYLE WINE_VARIETAL,18
8315,MELON IMPERIAL or DOUBLE IPA,FLAVOR_STYLE BEER_MICRO,57
56666,SIEGERREBE PASSIONFRUIT,WINE_VARIETAL FLAVOR_STYLE,211
154638,BRETT REGENT,BEER_MICRO WINE_VARIETAL,75
197002,ALE TOKAY,BEER_STYLE WINE_VARIETAL,8
197514,BELGIAN IPA AROMELLA,BEER_MICRO WINE_VARIETAL,75
78386,HONJOZO CAVA,WINE_SUBSTYLE WINE_VARIETAL,18
87355,EISBOCK MERITAGE,BEER_MICRO WINE_VARIETAL,75
217565,GRAPE   RUBY CABERNET,FLAVOR_STYLE WINE_VARIETAL,57
140400,AMARONE MARSALA,WINE_VARIETAL WINE_VARIETAL,211
172363,ALICANTE BOUSCHET GRÜNER VELTLINER,WINE_VARIETAL WINE_VARIETAL,211
66213,ST. CROIX BRANDY LIQUEUR or CORDIAL,WINE_VARIETAL SPIRITS_TYPE,211
137219,EDELWEISS CARIGNAN,WINE_VARIETAL WINE_VARIETAL,211
90662,ENGLISH STRONG BITTER (ESB) ENGLISH STRONG BITTER (ESB),BEER_MICRO BEER_MICRO,75
45494,GRIGNOLINO KRISTALLWEIZEN,WINE_VARIETAL BEER_MICRO,211
206825,CABERNET FRANC MUSCAT OTTONEL,WINE_VARIETAL WINE_VARIETAL,211
157685,NAMA UGNI BLANC,WINE_SUBSTYLE WINE_VARIETAL,18
128253,BLANC DE BLANCS MOSCATEL DE SETUBAL,WINE_VARIETAL WINE_STYLE,211
216207,PUMPKIN LEMBERGER,FLAVOR_STYLE WINE_VARIETAL,57
69530,KATELYN GOLDWASSER,WINE_VARIETAL SPIRITS_TYPE,211
39242,LAVENDER ADJUNCT LAGER,FLAVOR_STYLE BEER_MICRO,57
88322,INDIA PALE LAGER or IPL LUCIE KUHLMANN,BEER_MICRO WINE_VARIETAL,75
95209,CARIGNAN LIME,WINE_VARIETAL FLAVOR_STYLE,211
202168,SYRAH MEAD,WINE_VARIETAL WINE_VARIETAL,211
224500,NORTON RED,WINE_VARIETAL WINE_STYLE,211
177157,BLUE RASPBERRY CONCORD,FLAVOR_STYLE WINE_VARIETAL,57
105136,WILD BERRY BITTERS,FLAVOR_STYLE SPIRITS_BROAD,57
62524,QUADRUPEL BLENDED SCOTCH WHISKY,BEER_MICRO SPIRITS_TYPE,75
222595,CHENIN BLANC TOURIGA NACIONAL,WINE_VARIETAL WINE_VARIETAL,211
188071,GRAIN SPIRITS PRIMITIVO,SPIRITS_TYPE WINE_VARIETAL,77
71251,ERBALUCE IRISH WHISKY,WINE_VARIETAL SPIRITS_TYPE,211
96587,ANISE CINNAMON,SPIRITS_TYPE FLAVOR_STYLE,77
80852,SUBSTANDARD BRANDY DOLCETTO,SPIRITS_TYPE WINE_VARIETAL,77
226753,ERBALUCE ALICANTE BOUSCHET,WINE_VARIETAL WINE_VARIETAL,211
158999,HONJOZO DE CHAUNAC,WINE_SUBSTYLE WINE_VARIETAL,18
59551,REDISTILLED GIN MEZCAL,SPIRITS_TYPE SPIRITS_BROAD,77
161670,FRONTENAC MUSCAT CANELLI,WINE_VARIETAL WINE_VARIETAL,211
203633,MUSCAT PORT,WINE_VARIETAL WINE_VARIETAL,211
148897,BARLEYWINE CHAMBOURCIN,BEER_MICRO WINE_VARIETAL,75
95784,MUSCADET PAPAYA,WINE_VARIETAL FLAVOR_STYLE,211
190406,DRY STOUT BLAUFRÄNKISCH,BEER_MICRO WINE_VARIETAL,75
104671,ALMOND AQUAVIT,FLAVOR_STYLE SPIRITS_BROAD,57
109047,GRAPPA STRAIGHT WHEAT WHISKY,WINE_VARIETAL SPIRITS_TYPE,211
17121,ORTEGA GRISETTE,WINE_VARIETAL BEER_MICRO,211
61691,HONJOZO STRIAGHT CORN WHISKY,WINE_SUBSTYLE SPIRITS_TYPE,18
194520,TEROLDEGO TRIPLE SEC,WINE_VARIETAL SPIRITS_TYPE,211
7035,BLAUFRÄNKISCH DORTMUNDER,WINE_VARIETAL BEER_MICRO,211
116036,MAPLE BLENDED RYE MALT WHISKY,FLAVOR_STYLE SPIRITS_TYPE,57
6860,REGENT DORTMUNDER,WINE_VARIETAL BEER_MICRO,211
24539,AQUAVIT TROPICAL,SPIRITS_BROAD FLAVOR_STYLE,13
124396,LANDOT NOIR GIN LIQUEUR or CORDIAL,WINE_VARIETAL SPIRITS_TYPE,211
131817,MADEIRA DRY,WINE_VARIETAL WINE_SUBSTYLE,211
217750,ARMAGNAC RUBY CABERNET,SPIRITS_TYPE WINE_VARIETAL,77
23668,RETSINA HONEY,WINE_VARIETAL FLAVOR_STYLE,211
43070,COMPOUNDED GIN TRIPEL,SPIRITS_TYPE BEER_MICRO,77
147071,BLEND MONTEPULCIANO,WINE_STYLE WINE_VARIETAL,13
8949,CASTEL BLACK IPA or CASCADIAN DARK ALE,WINE_VARIETAL BEER_MICRO,211
77993,BLENDED MALT WHISKY BARBARESCO,SPIRITS_TYPE WINE_VARIETAL,77
222106,CLARET MULLED WINE,WINE_VARIETAL WINE_VARIETAL,211
104352,SABREVOIS GIN,WINE_VARIETAL SPIRITS_BROAD,211
51719,BUTTERSCOTCH PECAN,FLAVOR_STYLE FLAVOR_STYLE,57
188519,BLACK CHERRY RAYON D'OR,FLAVOR_STYLE WINE_VARIETAL,57
119901,CHARDONEL ROCK AND RYE,WINE_VARIETAL SPIRITS_TYPE,211
56801,OLD ALE COCONUT,BEER_MICRO FLAVOR_STYLE,75
82419,GARGANEGA ZINFANDEL,WINE_VARIETAL WINE_VARIETAL,211
144390,DELAWARE COLOMBARD,WINE_VARIETAL WINE_VARIETAL,211
114321,SÉMILLON BLENDED MALT WHISKY,WINE_VARIETAL SPIRITS_TYPE,211
62739,SLIVOVITZ BLENDED SCOTCH WHISKY,SPIRITS_TYPE SPIRITS_TYPE,77
195969,COUNOISE AMARONE,WINE_VARIETAL WINE_VARIETAL,211
222956,APRICOT SIEGFRIED,FLAVOR_STYLE WINE_VARIETAL,57
20918,STRIAGHT CORN WHISKY MIXED,SPIRITS_TYPE FLAVOR_BROAD,77
175569,TRIPEL VERDICCHIO,BEER_MICRO WINE_VARIETAL,75
191592,LAMBRUSCO HAZELNUT,WINE_VARIETAL FLAVOR_STYLE,211
196302,AMARETTO BAROLO,SPIRITS_TYPE WINE_VARIETAL,77
53260,CHENIN BLANC COLA,WINE_VARIETAL FLAVOR_STYLE,211
143130,KOLSCH SOVEREIGN OPAL,BEER_MICRO WINE_VARIETAL,75
117413,DUNKELWEIZEN BLENDED BOURBON WHISKY,BEER_MICRO SPIRITS_TYPE,75
114084,WITBIER BLENDED MALT WHISKY,BEER_MICRO SPIRITS_TYPE,75
95944,PILSNER or PILSENER POMEGRANATE,BEER_MICRO FLAVOR_STYLE,75
220597,BLENDED RYE WHISKY LA CRESCENT,SPIRITS_TYPE WINE_VARIETAL,77
155808,PETIT MANSENG GAMAY BEAUJOLAIS,WINE_VARIETAL WINE_VARIETAL,211
15384,PASSIONFRUIT FLANDERS RED ALE,FLAVOR_STYLE BEER_MICRO,57
206273,BRANDY MUSCADET,SPIRITS_BROAD WINE_VARIETAL,13
202573,CAVA PETIT VERDOT,WINE_VARIETAL WINE_VARIETAL,211
216381,CHIANTI LEMBERGER,WINE_VARIETAL WINE_VARIETAL,211
409,LIGHT BODY LAGER,WINE_SUBSTYLE BEER_STYLE,18
130373,STRAIGHT WHEAT WHISKY MEDIUM SWEET,SPIRITS_TYPE WINE_SUBSTYLE,77
78192,TREBBIANO BARBARESCO,WINE_VARIETAL WINE_VARIETAL,211
48718,EISBOCK COFFEE,BEER_MICRO FLAVOR_STYLE,75
210252,ACAI NOBLE MUSCADINE,WINE_VARIETAL WINE_VARIETAL,211
157126,LEMON PINOTAGE,FLAVOR_STYLE WINE_VARIETAL,57
55025,TOKAY TOMATO,WINE_VARIETAL FLAVOR_STYLE,211
67124,VERNACCIA WHEAT MASH WHISKY,WINE_VARIETAL SPIRITS_TYPE,211
117155,GATTINARA GRAPPA BRANDY,WINE_VARIETAL SPIRITS_TYPE,211
106785,NIGORI VODKA,WINE_SUBSTYLE SPIRITS_TYPE,18
197831,POMEGRANATE AROMELLA,WINE_VARIETAL WINE_VARIETAL,211
214845,WATERMELON MÜLLER-THURGAU,FLAVOR_STYLE WINE_VARIETAL,57
203703,FLANDERS RED ALE SOAVE,BEER_MICRO WINE_VARIETAL,75
218161,BEAUJOLAIS ORTEGA,WINE_VARIETAL WINE_VARIETAL,211
145696,MEZCAL FUMÉ BLANC,SPIRITS_BROAD WINE_VARIETAL,13
55777,MUSCADINE WATERMELON,WINE_VARIETAL FLAVOR_STYLE,211
194089,COLOMBARD STRAIGHT WHISKY,WINE_VARIETAL SPIRITS_TYPE,211
129740,NEBBIOLO ROSÉ,WINE_VARIETAL WINE_STYLE,211
101496,ACAI ACAI,WINE_VARIETAL FLAVOR_STYLE,211
180214,LÉON MILLOT NORTON,WINE_VARIETAL WINE_VARIETAL,211
135235,CANADIAN WHISKY BARDOLINO,SPIRITS_TYPE WINE_VARIETAL,77
11299,MARSANNE SMOKED PORTER,WINE_VARIETAL BEER_MICRO,211
35258,CRÉMANT IMPERIAL RED ALE,WINE_VARIETAL BEER_MICRO,211
5014,CANADIAN WHISKY MARZEN or OKTOBERFEST,SPIRITS_TYPE BEER_MICRO,77
176613,HAZELNUT CHELOIS,FLAVOR_STYLE WINE_VARIETAL,57
165651,TEQUILA COROT NOIR,SPIRITS_BROAD WINE_VARIETAL,13
66192,SABREVOIS BRANDY LIQUEUR or CORDIAL,WINE_VARIETAL SPIRITS_TYPE,211
148809,TANNAT CATAWBA,WINE_VARIETAL WINE_VARIETAL,211
169334,L’ACADIE BLANC VIVANT,WINE_VARIETAL WINE_VARIETAL,211
222307,RED ALE TOURIGA NACIONAL,BEER_MICRO WINE_VARIETAL,75
50082,CHANCELLOR (NOIR) ALMOND,WINE_VARIETAL FLAVOR_STYLE,211
112860,CHIANTI CLASSICO DISTILLED GIN,WINE_VARIETAL SPIRITS_TYPE,211
114024,PUMPKIN ALE BLENDED MALT WHISKY,BEER_MICRO SPIRITS_TYPE,75
177353,SOUZÃO CONCORD,WINE_VARIETAL WINE_VARIETAL,211
178452,CARAMEL GEISENHEIM,FLAVOR_STYLE WINE_VARIETAL,57
115873,ST. LAURENT STRAIGHT MALT WHISKY,WINE_VARIETAL SPIRITS_TYPE,211
22258,MOSCATO BLUEBERRY,WINE_VARIETAL FLAVOR_STYLE,211
102823,VINS DOUX NATURELS APRICOT,WINE_STYLE FLAVOR_STYLE,13
16804,PAPAYA GRISETTE,FLAVOR_STYLE BEER_MICRO,57
86146,CARIGNAN ROSÉ,WINE_VARIETAL WINE_VARIETAL,211
115849,BARDOLINO STRAIGHT MALT WHISKY,WINE_VARIETAL SPIRITS_TYPE,211
53828,BOURBON MASH WHISKY MAPLE,SPIRITS_TYPE FLAVOR_STYLE,77
2965,SWEET SELTZERS,FLAVOR_BROAD BEER_STYLE,5
74272,GRÜNER VELTLINER DIAGINJO,WINE_VARIETAL WINE_SUBSTYLE,211
147939,BLONDE ALE CANNONAU,BEER_MICRO WINE_VARIETAL,75
192188,CABERNET SEVERNYI TEQUILA,WINE_VARIETAL SPIRITS_BROAD,211
207495,LAGER ROUGEON,BEER_STYLE WINE_VARIETAL,8
129615,LAGREIN ROSÉ,WINE_VARIETAL WINE_STYLE,211
134178,KIRSCHWASSER ARNEIS,SPIRITS_TYPE WINE_VARIETAL,77
39044,STRIAGHT CORN WHISKY SAHTI,SPIRITS_TYPE BEER_MICRO,77
132500,UGNI BLANC KUNSHU,WINE_VARIETAL WINE_SUBSTYLE,211
226383,CABERNET SAUVIGNON RETSINA,WINE_VARIETAL WINE_VARIETAL,211
32732,VERDICCHIO PILSNER or PILSENER,WINE_VARIETAL BEER_MICRO,211
129899,BLEND FULL BODY,WINE_STYLE WINE_SUBSTYLE,13
217154,STRAWBERRY MELON DE BOURGOGNE,FLAVOR_STYLE WINE_VARIETAL,57
105092,STRAIGHT WHEAT WHISKY BITTERS,SPIRITS_TYPE SPIRITS_BROAD,77
114416,JUKUSHU BLENDED MALT WHISKY,WINE_SUBSTYLE SPIRITS_TYPE,18
100216,ORANGE KIWI,FLAVOR_STYLE FLAVOR_STYLE,57
205929,SAUVIGNON GRIS KATELYN,WINE_VARIETAL WINE_VARIETAL,211
116705,SAUVIGNON BLANC SLIVOVITZ,WINE_VARIETAL SPIRITS_TYPE,211
52054,PINOT BLANC PEAR,WINE_VARIETAL FLAVOR_STYLE,211
175418,MADELEINE SYLVANER SHIRAZ,WINE_VARIETAL WINE_VARIETAL,211
23799,ORTEGA HONEY,WINE_VARIETAL FLAVOR_STYLE,211
187985,PINEAPPLE PRIMITIVO,FLAVOR_STYLE WINE_VARIETAL,57
188637,BLENDED WHISKY RAYON D'OR,SPIRITS_TYPE WINE_VARIETAL,77
179903,CHILE BEER NORTON,BEER_MICRO WINE_VARIETAL,75
33706,MOSCATO IMPERIAL STOUT,WINE_VARIETAL BEER_MICRO,211
185575,WEIZENBOCK CHAMPAGNE,BEER_MICRO WINE_VARIETAL,75
55892,DRY STOUT VANILLA,BEER_MICRO FLAVOR_STYLE,75
12897,ROGGENBIER or RYE BEER OATMEAL STOUT,BEER_MICRO BEER_MICRO,75
128262,ORTEGA MOSCATEL DE SETUBAL,WINE_VARIETAL WINE_STYLE,211
